title,company,stipend,skills,url
,Graindigits,"₹ 5,000 - 10,000 /month","AI Automation Graindigits Pune ₹ 5,000 - 10,000 /month 3 Months We're hiring an AI automation intern to design, build, and deploy AI agents that automate research, monitoring, decision-support, and operational workflows across our trading and analytics systems. This isn't a ""prompt and ship"" role, you'll be building agentic pipelines that plug into real trading infrastructure, market data feeds, and internal tools, with production-grade reliability expectations.



1. Design and build AI agents (single-agent and multi-agent) to automate internal workflows, market monitoring, report generation, alerting, data pipeline orchestration, research summarization, and trade/analytics support tasks.
2. Build with LangChain, LangGraph, and Agno (or comparable agent frameworks) to create tool-using, stateful, multi-step agent workflows.
3. Apply machine learning where it adds edge, model selection, fine-tuning, and evaluation for tasks like signal extraction, anomaly detection, or classification within trading/analytics data.
4. Own the automation lifecycle: prototype, test, deploy, monitor, with attention to latency, cost, and failure modes (agents touching live/near-live trading data need to fail safely).
5. Build evaluation harnesses and guardrails so agent outputs are trustworthy before they touch anything production-adjacent.
6. Document architecture and decisions clearly enough that a 2-person founding team can maintain what you build after you leave. Python Git Machine Learning Natural Language Processing (NLP) APIs OpenAI API NumPy +4 more 1 day ago Be an early applicant",https://internshala.com/internship/detail/ai-automation-internship-in-pune-at-graindigits1788868836
,Nitarya Global Llp,"₹ 7,000 - 10,000 /month","Research & Platform Testing Nitarya Global Llp Delhi (Hybrid) ₹ 7,000 - 10,000 /month 1 Month A. Research
1. Research countries, cities, and localities for NITARYA's property and global living advisory using provided topics and templates.
2. Collect information from government websites, official authorities, and credible publications.
3. Write clear summaries and record source links and relevant dates.
4. Update the internal system accurately, checking entries for missing information, duplicates, outdated details, and conflicting claims, and flagging uncertainty instead of guessing.

B. Platform testing
1. Test everyday workflows across the admin panel, including the Library, Reports, and other sections, checking forms, uploads, search, filters, editing, saving, and retrieving information.
2. Identify confusing labels, unclear instructions, unnecessary steps, and missing feedback, and suggest practical improvements.
3. Check that reports generate correctly, display the selected information, and download successfully, flagging missing sections, broken tables, incorrect data transfer, and layout problems.
4. Document issues with screenshots, steps to reproduce, and expected versus actual results, maintaining an issue tracker and retesting after fixes.
5. Join scheduled screen-sharing sessions and coordinate with the founder or developer during agreed working hours to investigate and resolve issues promptly. Attention to Detail Software Testing MS-Excel English Proficiency (Written) Research and Analytics Google Sheets 1 day ago Be an early applicant",https://internshala.com/internship/detail/research-platform-testing-internship-in-delhi-at-nitarya-global-llp1788862547
,PRMS Advisory Private Limited,"₹ 5,000 - 6,000 /month","Operations & Reporting PRMS Advisory Private Limited Ghaziabad ₹ 5,000 - 6,000 /month 3 Months 1. Collect daily work updates from team members.
2. Monitor assigned, ongoing, and completed work.
3. Maintain daily work trackers and records.
4. Follow up with team members on pending tasks.
5. Update work status and timelines regularly.
6. Consolidate team-wise work data.
7. Prepare daily, weekly, and monthly MIS reports.
8. Prepare work status and performance reports.
9. Share regular updates with management.
10. Coordinate with team members for required information.
11. Maintain proper records and documentation.
12. Support basic day-to-day operational activities. MS-Excel Coordination MIS Effective Communication Report Generation 1 day ago Be an early applicant",https://internshala.com/internship/detail/operations-reporting-internship-in-ghaziabad-at-prms-advisory-private-limited1788861633
,Lucror,"₹ 4,000 - 6,000 /month","AI Fashion Stylist Lucror Delhi, Noida (Hybrid) ₹ 4,000 - 6,000 /month 6 Months 1. Conduct AI-based fashion styling, photography, and videography for client projects.
2. Create AI-generated content and presentations for client projects.
3. Manage client expectations and coordinate with vendors, ensuring timely delivery as per requirements.
4. Conduct AI-assisted research on Gen Z fashion trends, buying behavior, and motivations.
5. Support internal marketing materials and social media management.
6. Undertake other marketing, coordination, research, or administrative tasks as assigned based on business needs. MS-PowerPoint Fashion Styling AI Video Generation AI Image Generation 1 day ago Be an early applicant Part time",https://internshala.com/internship/detail/part-time-ai-fashion-stylist-internship-in-multiple-locations-at-lucror1788846548
,Satyukt Analytics Private Limited,"₹ 15,000 - 18,000 /month","Sales Associate (BSc Agriculture) Satyukt Analytics Private Limited Kolkata, Hyderabad, Mumbai, Odisha, Bangalore, Assam, Telangana, Andhra Pradesh, Madhya Pradesh, Arunachal Pradesh ₹ 15,000 - 18,000 /month 6 Months 1. Perform lead generation and customer acquisition activities across multiple outreach channels
2. Manage and update CRM systems and contact databases accurately
3. Maintain effective follow-ups to support lead nurturing and conversion processes
4. Organise sales data, clean sales pipelines, and prepare weekly performance reports
5. Prepare and share technical proposals with clients and prospective customers
6. Conduct product presentations, demonstrations, and client discussions
7. Coordinate with the product development team to communicate feedback and suggest improvements
8. Develop and execute outbound prospecting strategies through calls, emails, LinkedIn, and other communication channels
9. Build and maintain external partnerships with organisations, corporates, startups, and government bodies
10. Monitor market trends and competitor activities to support product enhancement strategies
11. Collaborate with leadership and cross-functional teams on strategic initiatives and business objectives
12. Achieve and exceed weekly and monthly sales targets and performance metrics Client Relationship Management (CRM) Lead Generation Interpersonal skills Effective Communication Self-learning Sales Strategy 2 days ago Be an early applicant",https://internshala.com/internship/detail/sales-associate-bsc-agriculture-internship-in-multiple-locations-at-satyukt-analytics-private-limited1788787453
,A Pardawala,"₹ 4,500 - 5,000 /month","Operations A Pardawala Mumbai ₹ 4,500 - 5,000 /month 2 Months 1. Analyze current affairs in the mutual fund industry, prepare summary reports, presentations, and work on data points.
2. Work on interviews of fund managers, including online interviews, analyze discussions, pick up key data points, prepare summaries, presentations, analyze sector trends, understand mutual fund strategy, portfolio construct, and outlook.
3. Prepare pitch decks and PowerPoint presentations on mutual fund schemes covering strengths, data, quantitative metrics, investment structure, sector allocation, strategy, portfolio construct, key quantitative details, and investments across equity, debt, fixed income, and commodity markets.
4. Manage LinkedIn networking, including extracting relevant contacts, building connections, and gathering information in the mutual fund and finance industry.
5. Prepare research reports using Microsoft Word, PowerPoint, and Excel.
6. Analyze data, create data analytics, and track mutual fund sales trends, including gross sales, net sales, AUM, and other parameters. MS-Office MS-Word MS-PowerPoint MS-Excel English Proficiency (Spoken) English Proficiency (Written) 6 days ago Be an early applicant",https://internshala.com/internship/detail/operations-internship-in-mumbai-at-a-pardawala1788421125
,QDegrees,"₹ 10,000 - 12,000 /month","Market Research QDegrees Jaipur ₹ 10,000 - 12,000 /month 3 Months 1. Data entry: Scrutinize and enter data
2. Data collection: Gather primary and secondary data through online surveys, customer interviews, focus groups, and industry reports
3. Competitor analysis: Research rival companies to compare pricing models, product features, marketing strategies, and market positioning
4. Survey support: Assist in designing questionnaires, setting up feedback channels, and recording participant responses
5. Data organization: Clean and structure raw data using spreadsheets or database tools to ensure accuracy before evaluation MS-Excel Data entry English Proficiency (Spoken) English Proficiency (Written) Research and Analytics 1 week ago Be an early applicant",https://internshala.com/internship/detail/market-research-internship-in-jaipur-at-qdegrees1787825086
,Subash Vijay Associates (SVA),"₹ 6,000 - 8,000 /month","Marketing & AI Systems Subash Vijay Associates (SVA) Mumbai ₹ 6,000 - 8,000 /month 6 Months 1. Assist in creating and executing marketing campaigns across social media platforms.
2. Develop engaging content ideas, captions, and creative concepts aligned with the brand's voice.
3. Conduct market research and competitor analysis to identify trends and growth opportunities.
4. Support branding initiatives and help maintain consistency across digital platforms.
5. Create and manage content for Instagram, YouTube, LinkedIn, and other social media channels.
6. Use AI tools such as ChatGPT, Gemini, or Claude to improve content creation and marketing workflows.
7. Analyze social media performance and provide insights to improve engagement and reach.
8. Collaborate with the marketing team on campaigns, content calendars, and promotional activities. Social Media Marketing Digital Marketing Facebook Marketing Marketing Strategy Content Marketing Artificial intelligence Instagram Marketing +3 more 2 weeks ago Be an early applicant",https://internshala.com/internship/detail/marketing-ai-systems-internship-in-mumbai-at-subash-vijay-associates-sva1787651317
,NeuralFactoryAI,"₹ 2,000 - 2,001 /month","Industrial AI Engineering NeuralFactoryAI Guwahati, Nagpur (Hybrid) ₹ 2,000 - 2,001 /month 2 Months 1. Research manufacturing companies across India.
2. Assist in identifying Industrial AI opportunities for manufacturing plants.
3. Assist in preparing technical proposals and customer presentations.
4. Perform LinkedIn-based technical outreach to manufacturing professionals. Effective Communication 3 weeks ago Be an early applicant",https://internshala.com/internship/detail/industrial-ai-engineering-internship-in-multiple-locations-at-neuralfactoryai1786675505
,Joveo,Not provided,"Operations Joveo Bangalore Not provided 6 Months Title: Operations & Strategy InternLocation: Bengaluru, India (Work from Office, 5 days a week)Timings: 2-10 pmAbout JoveoAs the global leader in AI-powered recruitment marketing, we are transforming talent attraction and recruitment media buying for the worlds largest and smartest employers, staffing businesses, RPOs, and recruitment advertising agencies.The Joveo platform enables businesses to attract, source, engage, and hire the most relevant candidates on time, within their budget. Powering millions of jobs every day, our data-driven recruitment marketing platform uses advanced data science and machine learning to dynamically manage and optimize talent sourcing and applications across all online channels while providing real-time insights at every step of the job seeker journey, from click to hire.Job Description:Are you a highly motivated, analytically-minded individual looking to launch your career in the fast-paced world of digital advertising and operations? Join our dynamic Operations Team and gain hands-on experience by directly impacting our client success. You will be instrumental in developing sophisticated media execution plans and posting strategies for our key Tier 1 & 2 clients in the recruitment space. This is a full-time opportunity where you'll learn to translate data into actionable strategies and optimize digital campaigns for maximum impact.What You'll Do (Responsibilities):Develop Digital Strategies: Collaborate with the Operations Team to craft and refine effective media plans and digital content posting strategies for a portfolio of top-tier clients.Campaign Execution: Utilize our internal execution platform to implement posting plans, ensuring precision and timely delivery of high-volume client campaigns.Data-Driven Optimization: Dive deep into campaign data, performing robust analysis to evaluate performance metrics and proactively identify opportunities for optimization and efficiency.Performance Monitoring: Assist in tracking key campaign metrics, such as engagement rates, conversions, and ROI, to guarantee the delivery of measurable results and strategic value for our clients.Strategic Contribution: Actively participate in team and cross-functional meetings, contributing innovative ideas and data-backed insights to elevate campaign success.Cross-Functional Collaboration: Partner with Account Management and Creative teams to ensure seamless strategy alignment and achievement of broader client objectives.Industry Insight: Stay current with the latest trends and best practices in digital advertising and content distribution, integrating new knowledge into our strategies and recommendations.What You'll Bring (Qualifications):Currently pursuing or recently completed a Bachelor's or Master's degree in a quantitative or relevant field (e.g., Marketing, Business Analytics, Economics, or similar).Strong Analytical Foundation: A data-oriented mindset with proven ability to analyze complex data sets. Proficiency in tools like Google Sheets/Excel for data manipulation is essential.Clear Communication: Excellent verbal and written communication skills, capable of translating complex data into clear, compelling strategic narratives.High Attention to Detail: Exceptional organizational skills and a detail-oriented approach necessary for managing multiple time-sensitive projects simultaneously.Tech Proficiency: Comfortable with the Google Workspace Suite (Sheets, Docs, Slides).Proactive & Collaborative: Self-motivated, able to take initiative, work independently, and thrive as an enthusiastic contributor in a collaborative team setting.Passion for Digital: A demonstrated interest or experience in digital advertising, performance marketing, or digital operations.The Opportunity:This is a full-time, in office, 3-6 month internship position, with the possibility of extension or conversion to a full-time role based on outstanding performance and evolving business needs. Join us and build a foundation for a rewarding career in digital operations!Apply Now! Few hours ago Be an early applicant",https://internshala.com/internship/detail/operations-intern-internship-in-bangalore-at-joveo1788943627
,Pledge India FoundationActively hiring,Unpaid,"Artificial Intelligence (AI) Pledge India Foundation Actively hiring Work from home Unpaid 1 Month Are you passionate about Artificial Intelligence and looking for an opportunity to make a real impact? Join Pledge India Foundation as an AI Intern and be a part of an innovative team dedicated to using AI for social good. 



1. Collaborate with the AI team to develop and implement AI solutions for various projects.
2. Research AI trends and best practices to enhance the Foundation's AI capabilities.
3. Assist in data collection, cleaning, and analysis to support AI projects.
4. Participate in brainstorming sessions to generate new ideas for AI applications in the social sector.
5. Work closely with the technology team to integrate AI solutions into existing platforms.
6. Support in creating AI models and algorithms to optimize processes and improve efficiency.
7. Present findings and recommendations to stakeholders to drive decision-making and strategic planning. 

If you're a proactive, creative, and tech-savvy individual with a passion for using AI for social impact, we want to hear from you. Apply now and let's work together to create a better future through AI innovation. Python Data Structures Machine Learning Data Science Deep Learning Artificial intelligence Effective Communication Few hours ago Be an early applicant Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-pledge-india-foundation1788956970
,Hope Behind Tails FoundationActively hiring,Unpaid,"Data Science Hope Behind Tails Foundation Actively hiring Work from home Unpaid 1 Month As a Data Science intern at Hope Behind Tails Foundation, you will have the exciting opportunity to apply your knowledge and skills in a meaningful way to make a difference in the lives of animals. Your work will directly impact our efforts to save and improve the lives of countless furry friends in need. 

Key Responsibilities:
1. Analyze data to identify trends and patterns related to animal welfare and adoption rates.
2. Develop and implement predictive models to optimize adoption processes and increase success rates.
3. Collaborate with cross-functional teams to gather and analyze data from various sources.
4. Create visualizations and reports to communicate findings and recommendations to stakeholders.
5. Assist in designing and conducting experiments to test hypotheses and improve processes.
6. Stay updated on the latest data science techniques and tools to enhance your skills and contribute innovative ideas.
7. Support ongoing projects and initiatives to drive continuous improvement and achieve organizational goals. 

Join us in our mission to give hope to animals in need and make a positive impact on the world through data science. Apply now and be part of our dynamic team at Hope Behind Tails Foundation! Python SQL Data Analytics Machine Learning Data Science Natural Language Processing (NLP) Deep Learning +1 more Few hours ago Be an early applicant Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-data-science-internship-at-hope-behind-tails-foundation1788956905
,Women First India FoundationActively hiring,Unpaid,"Data Analytics Women First India Foundation Actively hiring Work from home Unpaid 2 Weeks Are you passionate about using data to drive positive change for women's empowerment? Women First India Foundation is seeking a Data Analytics intern to join our dynamic team. As an intern, you will have the opportunity to work closely with our data analytics team to analyze, interpret, and present data to support our mission of advancing gender equality in India. 

Key Responsibilities:
1. Conduct data cleaning and preparation to ensure accuracy and reliability of data.
2. Develop and implement data analysis techniques to identify trends and patterns.
3. Create data visualizations and dashboards to communicate insights effectively.
4. Collaborate with team members to make data-driven recommendations for program improvement.
5. Assist in the development of predictive models to forecast future outcomes.
6. Support ongoing data monitoring and evaluation efforts to track progress towards organizational goals.
7. Stay updated on current data analytics trends and technologies to enhance skillset. 

If you are a detail-oriented individual with a strong analytical mindset and a passion for making a difference, we want to hear from you. Join us in using data to empower women and create a more equitable society for all. Apply now to be a part of our impactful team at Women First India Foundation. HTML Python SQL Data Analytics MS-Excel Data Science Power BI +1 more Few hours ago Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-women-first-india-foundation1788956558
,AIVOAActively hiring,"₹ 8,000 - 12,000 /month","AI Product Engineer (Fresher) - Python & React (Remote) - Fresher (WFH) AIVOA Actively hiring Work from home ₹ 8,000 - 12,000 /month 6 Months 1. Build backend APIs using Python and FastAPI.
2. Develop frontend features using React.
3. Build AI-powered features and workflow automation.
4. Integrate APIs, databases, and AI services.
5. Debug, test, and enhance real product features.
6. Collaborate with the engineering and product teams to understand and implement product requirements.
7. Use AI tools such as ChatGPT, Claude, Gemini, or GitHub Copilot for research, debugging, and development.
8. Develop a strong understanding of the codebase and the product features you build. Python Problem Solving React FastAPI Generative AI Tools Few hours ago Job offer upto ₹ 2.1LPA post internship",https://internshala.com/internship/detail/work-from-home-ai-product-engineer-fresher-python-react-remote-fresher-wfh-internship-at-aivoa1788956591
,NayePankh FoundationActively hiring,Unpaid,"Machine Learning NayePankh Foundation Actively hiring Work from home Unpaid 1 Month As a Machine Learning intern at NayePankh Foundation, you will have the opportunity to apply your expertise in Machine Learning, Python, Data Analytics, R Programming, Data Science, Natural Language Processing (NLP), Deep Learning, and Artificial Intelligence to drive innovative solutions in the field of education. Your responsibilities will include:

1. Developing and implementing machine learning models to enhance educational tools and resources.
2. Conducting data analysis to gain insights into student learning patterns and behavior.
3. Collaborating with cross-functional teams to integrate machine learning capabilities into existing systems.
4. Utilizing NLP techniques to improve communication and interaction with students and teachers.
5. Exploring deep learning algorithms to optimize educational content delivery and personalization.
6. Contributing to the research and development of AI-driven solutions for educational challenges.
7. Assisting in the design and execution of experiments to evaluate the effectiveness of machine learning solutions in educational settings.

Join us at NayePankh Foundation and make a meaningful impact on the future of education through advanced machine learning technologies. Python Data Analytics Machine Learning R Programming Data Science Natural Language Processing (NLP) Deep Learning +1 more Few hours ago Be an early applicant Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-nayepankh-foundation1788956357
,VPLytics Solutions Private LimitedActively hiring,"₹ 6,000 /month","Data Analytics VPLytics Solutions Private Limited Actively hiring Work from home ₹ 6,000 /month 6 Months • Write and execute SQL queries to retrieve required data from databases.
 • Clean, validate, and transform data before analysis and reporting.
 • Develop and maintain Power BI reports and dashboards based on business requirements.
 • Create and modify DAX measures, calculated columns, and KPIs in Power BI.
 • Analyse data to identify trends, patterns, exceptions, and inconsistencies.
 • Verify the accuracy of data displayed in reports against the underlying database.
 • Troubleshoot SQL queries, data issues, and Power BI report errors.
 • Update existing dashboards and reports based on feedback and changing requirements.
 • Work with tables, joins, views, aggregations, subqueries, and other SQL concepts.
 • Build and maintain data models and relationships in Power BI.
 • Apply appropriate filters, slicers, drill-downs, and visualisations to reports.
 • Monitor data refreshes and investigate refresh failures where applicable.
 • Document SQL queries, report logic, data sources, calculations, and changes made.
 • Understand assigned business requirements before beginning development work.
 • Participate in daily stand-ups and provide clear updates on completed work, current tasks, and blockers.
 • Test completed reports and dashboards thoroughly before submitting them for review.
 • Make corrections and improvements based on feedback from senior developers or managers.
 • Maintain organised versions of reports, queries, and supporting documentation.
 • Follow company standards for data confidentiality, security, and access control.
 • Complete assigned tasks within agreed timelines and proactively communicate delays or blockers.
 • Continuously improve practical knowledge of SQL, Power BI, DAX, data modelling, and data analysis through assigned project work. Python MS SQL Server MS-Excel Data Science Power BI Few hours ago Be an early applicant",https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-vplytics-solutions-private-limited1788952806
,IFOA,"₹ 20,000 - 30,000 /month","PRO Artificial Intelligence (AI) PRO IFOA Delhi ₹ 20,000 - 30,000 /month 3 Months 1. Assist in integrating various SCORM/API packages into various LMS platforms
2. Work on embedding Interactive web apps within e-learning tools such as iSpring or Articulate
3. Support Rest API integrations, JSON data handling, and backend communication.
4. Contribute to Node. JS-based automation and basic web interface development.
5. Collaborate with senior developers for testing, debugging, and version control Python Data Structures Machine Learning Artificial intelligence Few hours ago Be an early applicant",https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-delhi-at-ifoa1788944986
,ROVA AI,"₹ 15,000 - 20,000 /month","Artificial Intelligence (AI) ROVA AI Gurgaon ₹ 15,000 - 20,000 /month 3 Months 1. Build and integrate AI/LLM-powered applications using Python and FastAPI.
2. Work on AI Agents, conversational AI, APIs, RAG, and backend workflows.
3. Develop, test, deploy, and improve AI solutions using tools like Git, Docker, and cloud platforms. Python MongoDB Machine Learning Docker GitHub Natural Language Processing (NLP) Artificial intelligence +3 more Few hours ago",https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-gurgaon-at-rova-ai1788947666
,Druidot Consulting Private Limited,"₹ 1,000 - 5,000 /month","Python Development Druidot Consulting Private Limited Work from home ₹ 1,000 - 5,000 /month 6 Months 1. Research on suitable Algorithm
2. Able to code with Python
3. Test the application
4 Documentation. 
5. Able to understand complex business logic
6. Able to apply complex algorithm
7. Proficiency with research papers and latest algorithm
8. Vibe coding HTML CSS Python Algorithms Mathematics Django Machine Learning +6 more Few hours ago",https://internshala.com/internship/detail/work-from-home-python-development-internship-at-druidot-consulting-private-limited1788938069
,Avallon Edtech Private Limited (AcadAlly),"₹ 15,000 - 20,000 /month","Artificial Intelligence (AI) Avallon Edtech Private Limited (AcadAlly) Delhi ₹ 15,000 - 20,000 /month 6 Months 1. AI/ML development: Assist in developing, testing, and improving AI/ML models and solutions for AcadAlly’s personalized learning platform.
2. Data & model analysis: Work with datasets to clean, analyze, and identify patterns, and support model training, evaluation, and optimization.
3. GenAI & innovation: Explore and implement emerging AI technologies, including LLMs, NLP, and Generative AI, to build innovative features and improve the overall learning experience. Java Python Data Science Artificial intelligence NumPy Pandas Few hours ago Job offer upto ₹ 5LPA post internship",https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-delhi-at-avallon-edtech-private-limited-acadally1788939738
,Red Dot Foundation,Unpaid,"Data Storytelling & Visualization Red Dot Foundation Work from home Unpaid 6 Months 1. Assist with data cleaning, validation, and quality checks.
2. Analyze data and identify meaningful trends, patterns, and insights.
3. Create clear and engaging charts, dashboards, and visualizations.
4. Support improvements to existing dashboards and data presentations.
5. Prepare simple reports and presentations based on data findings.
6. Translate complex data into simple and understandable stories.
7. Explore creative ways to present data for stakeholders and partners. MS-Excel Data Visualization Power BI Tableau Effective Communication Data Analysis Looker Studio +1 more Few hours ago Be an early applicant",https://internshala.com/internship/detail/work-from-home-data-storytelling-visualization-internship-at-red-dot-foundation1788933983
,AmrataActively hiring,"₹ 10,000 - 20,000 /month","Data Analytics Amrata Actively hiring Work from home ₹ 10,000 - 20,000 /month 3 Months 1. Utilize Python and SQL to clean, manipulate, and analyze large datasets
2. Develop data visualizations and dashboards in Tableau and Power BI to present findings to stakeholders
3. Assist in the implementation of predictive models and machine learning algorithms
4. Conduct in-depth data analysis to identify trends, patterns, and anomalies
5. Collaborate with cross-functional teams to drive data-driven decision-making
6. Support data quality assurance processes to ensure accuracy and reliability of data
7. Stay up to date on the latest trends and technologies in the field of data analytics Python SQL Data Analytics MS-Excel Data Science Power BI Tableau Few hours ago",https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-amrata1788932352
,Zean Lithos And Company Private LimitedActively hiring,"₹ 12,000 - 15,000 /month","Financial Analyst Zean Lithos And Company Private Limited Actively hiring Work from home ₹ 12,000 - 15,000 /month 2 Months 1. Collect information, perform research, and analyze assets, such as stocks, mutual funds, etc.
2. Present the research to portfolio managers, as part of a team in which experts in different fields get to weigh their insights
3. Collaborate in preparing presentations and sharing information among peers
4. Collect and interpret data, such as company financial statements, price developments, currency adjustments, and yield fluctuations MS-Word MS-Excel Few hours ago Job offer upto ₹ 11LPA post internship Part time",https://internshala.com/internship/detail/work-from-home-part-time-financial-analyst-internship-at-zean-lithos-and-company-private-limited1788928663
,SUAS EnterprisesActively hiring,"₹ 12,000 - 15,000 /month","AI Full-Stack Developer SUAS Enterprises Actively hiring Work from home ₹ 12,000 - 15,000 /month 6 Months Work directly with the founding team to build v1 of an AI-native trading research platform. Our long-term vision is to create an autonomous research system that observes markets, forms hypotheses, executes backtests, learns from evidence, and builds a growing knowledge base.



1. Frontend & Dashboards: Build responsive web interfaces, interactive charts, and analysis workflows using React, Next.js, and TypeScript.
2. Backend Architecture & APIs: Develop core backend logic, REST APIs, and database structures using Node.js, TypeScript, and PostgreSQL.
3. AI & Agent Workflows: Integrate LLMs and multi-agent workflows to translate natural-language trading ideas into structured, executable strategies.
4. Integrations & Data Pipelines: Connect the platform with market data providers and quantitative research/backtesting engines.
5. Experiment Management: Build systems for strategy versioning, experiment tracking, and persistent research history.
6. AI-Assisted Engineering: Actively use modern AI tools such as Cursor, Claude, Copilot, and similar tools to prototype, debug, test, and ship features efficiently. JavaScript Python Git Node.js PostgreSQL GitHub REST API +5 more Few hours ago",https://internshala.com/internship/detail/work-from-home-ai-full-stack-developer-internship-at-suas-enterprises1788927499
,CodeatrixActively hiring,"₹ 8,000 - 20,000 /month","Artificial Intelligence (AI) Codeatrix Actively hiring Work from home ₹ 8,000 - 20,000 /month 2 Months 1. Work on practical Artificial Intelligence projects involving real-world problems and AI-based solutions.
2. Use Python and relevant AI libraries and frameworks to develop and experiment with intelligent applications.
3. Explore AI concepts including Natural Language Processing, Generative AI, computer vision and intelligent automation through practical projects.
4. Develop, test and improve AI-based solutions and evaluate their performance for different use cases.
5. Participate in mentor-guided sessions, complete assigned tasks and projects, and document and present project outcomes professionally. Python Data Structures Machine Learning Artificial intelligence Today Part time",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-codeatrix1788885229
,Jewel Box House,"₹ 5,000 - 8,000 /month","Machine Learning Jewel Box House Kolkata, Howrah ₹ 5,000 - 8,000 /month 3 Months 1. On time arrival
2. Manage the laser cutting machine
3. Create the designs CorelDRAW Machine Learning 1 day ago",https://internshala.com/internship/detail/machine-learning-internship-in-multiple-locations-at-jewel-box-house1788875383
,Basti Ki Pathshala FoundationActively hiring,Unpaid,"Data Analytics Basti Ki Pathshala Foundation Actively hiring Work from home Unpaid 1 Month Are you a data-savvy individual looking to make a real impact? Join us at Basti Ki Pathshala Foundation as a Data Analytics intern! We are a non-profit organization dedicated to providing quality education to underprivileged children in rural India. As a Data Analytics intern, you will have the opportunity to apply your skills to drive meaningful change and improve the lives of countless children. 

Key Responsibilities:
1. Analyze educational data to identify trends and patterns that can inform decision-making
2. Create visualizations and reports to communicate data insights effectively to stakeholders
3. Assist in developing predictive models to improve student outcomes
4. Collaborate with the team to design and implement data-driven strategies
5. Clean and organize data for analysis purposes
6. Support in conducting A/B testing and experiments to optimize programs
7. Continuously learn and stay updated on the latest trends in data analytics

Join us in our mission to transform education and empower the next generation. Apply now and be a part of something truly impactful! HTML Python SQL Data Analytics MS-Excel Data Science Power BI +1 more 1 day ago Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-basti-ki-pathshala-foundation1788869700
,Queens Of Change FoundationActively hiring,Unpaid,"Artificial Intelligence (AI) Queens Of Change Foundation Actively hiring Work from home Unpaid 1 Month As an AI intern at Queens Of Change Foundation, you will have the opportunity to work with cutting-edge technologies such as ChatGPT, Gemini, Grok, Claude, and DeepSeek. This is an exciting opportunity to apply your knowledge and skills in artificial intelligence to make a positive impact on our mission.



1. Develop and implement AI algorithms to optimize processes and enhance user experience.
2. Collaborate with team members to analyze data and provide insights for decision-making.
3. Research and stay up-to-date on the latest advancements in AI technology.
4. Assist in the development of AI-powered solutions for social impact projects.
5. Test and evaluate AI models to ensure accuracy and efficiency.
6. Participate in brainstorming sessions to generate innovative ideas for AI applications.
7. Present findings and recommendations to stakeholders clearly and concisely. 

If you are passionate about using AI for social good and are eager to learn and grow in a dynamic environment, we encourage you to apply for this internship opportunity. Join us in making a difference through the power of artificial intelligence! Artificial intelligence ChatGPT Grok Deepseek Claude Gemini 1 day ago Job offer post internship Part time",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-queens-of-change-foundation1788869539
,Inorbvict Healthcare India Private LimitedActively hiring,"₹ 6,000 /month","Data Science Inorbvict Healthcare India Private Limited Actively hiring Pune ₹ 6,000 /month 3 Months 1. Collect, clean, and analyze datasets. 
2. Perform Exploratory Data Analysis (EDA). 
3. Develop and evaluate Machine Learning models. 
4. Build dashboards and data visualizations. 
5. Write SQL queries and manage datasets. Collaborate with cross-functional teams on live projects. 
6. Document project findings and present insights. Python SQL Git Machine Learning Analytical Thinking Statistics GitHub +9 more 1 day ago",https://internshala.com/internship/detail/data-science-internship-in-pune-at-inorbvict-healthcare-india-private-limited1788866397
,GharpayyActively hiring,"₹ 10,000 - 14,000 /month","AI Digital Marketing Gharpayy Actively hiring Bangalore ₹ 10,000 - 14,000 /month 3 Months As a Digital Marketing AI Intern at Gharpayy, you will have the exciting opportunity to work at the intersection of digital marketing and artificial intelligence. 



1. Utilizing AI tools to analyze customer behavior and optimize marketing strategies
2. Implementing SEO tactics to increase website traffic and improve search engine rankings
3. Creating engaging content for social media platforms to drive user engagement
4. Collaborating with the marketing team to develop and execute digital marketing campaigns
5. Monitoring and analyzing campaign performance to make data-driven decisions
6. Assisting in the development of AI-powered marketing solutions
7. Staying up-to-date on the latest trends and innovations in digital marketing and AI technology

If you are passionate about digital marketing, AI, and SEO, and eager to gain hands-on experience in a dynamic and innovative company, then this internship opportunity at Gharpayy is perfect for you. Join our team and help us revolutionize the way we connect with our customers through cutting-edge technology. Digital Marketing Search Engine Optimization (SEO) Artificial intelligence 1 day ago Be an early applicant",https://internshala.com/internship/detail/ai-digital-marketing-internship-in-bangalore-at-gharpayy1788865861
